City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bubaque,GW,78.49,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
1,Turbat,PK,54.16,clear sky,26.0,63.04,Mubashar Quarters
2,Rikitea,PF,78.62,moderate rain,-23.12,-134.97,Pension Maro'i
3,Mataura,NZ,76.32,scattered clouds,-46.19,168.86,Ellie's Villa
4,Hilo,US,82.4,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
5,Te Anau,NZ,70.41,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
6,Vaini,TO,84.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
7,Jacmel,HT,77.0,light rain,18.23,-72.53,Hotel Florita
8,Trinidad,BO,73.49,overcast clouds,-14.83,-64.9,Hotel Piesta
10,Cidreira,BR,73.29,broken clouds,-30.18,-50.21,Hotel Castelo
14,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
15,Busselton,AU,77.0,clear sky,-33.65,115.33,Observatory Guest House
17,Oistins,BB,78.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
18,Ushuaia,AR,46.4,light intensity drizzle,-54.8,-68.3,Albatros Hotel
19,Somerset East,ZA,65.66,clear sky,-32.72,25.59,Mbali Lodge
20,Punta Arenas,CL,50.0,clear sky,-53.15,-70.92,Hotel Dreams Del Estrecho
21,Hasaki,JP,48.2,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
22,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
24,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
26,Kruisfontein,ZA,63.0,clear sky,-34.0,24.73,Oyster Bay House Rental
28,Port Hedland,AU,91.4,overcast clouds,-20.32,118.57,The Esplanade Hotel
31,Castro,BR,63.86,clear sky,-24.79,-50.01,CHACARA BAILLY
33,Tuatapere,NZ,73.99,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
34,Moranbah,AU,75.27,moderate rain,-22.0,148.05,Direct Hotels - Monterey Moranbah
35,Port Alfred,ZA,64.0,clear sky,-33.59,26.89,The Halyards Hotel
37,East London,ZA,73.0,scattered clouds,-33.02,27.91,Tu Casa
38,Carnarvon,AU,80.6,overcast clouds,-24.87,113.63,Hospitality Carnarvon
39,Guerrero Negro,MX,58.51,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
40,Kaduna,NG,65.62,broken clouds,10.52,7.44,HAMDALA HOTEL
42,Katsuura,JP,57.99,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
43,Hermanus,ZA,64.99,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
44,Virginia Beach,US,51.01,overcast clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
45,Dunedin,NZ,61.54,clear sky,-45.87,170.5,Scenic Hotel Southern Cross
46,Victoria,HK,68.0,clear sky,22.29,114.16,Mini Hotel Central
47,Muroto,JP,48.2,broken clouds,33.28,134.15,Oota Ryokan
48,Fortuna,US,50.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
49,Havelock,US,51.01,clear sky,34.88,-76.9,Sherwood Motel
50,Chuy,UY,65.1,light rain,-33.7,-53.46,Nuevo Hotel Plaza
54,Si Racha,TH,82.99,light rain,13.17,100.93,Cape Racha Hotel & Serviced Apartments
56,Robertsport,LR,80.06,broken clouds,6.75,-11.37,Kwepunha Retreat
59,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
60,Mar Del Plata,AR,69.8,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata
61,Pemangkat,ID,78.87,broken clouds,1.17,108.97,Kost H.Syamsuddin
62,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
63,Ugoofaaru,MV,81.73,clear sky,5.67,73.0,Ungoofaaru Inn
66,Hithadhoo,MV,81.9,broken clouds,-0.6,73.08,Scoop Guest House
