City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Bubaque,GW,11.28,-15.83,78.49,72,0,14.23,clear sky,2020-12-29 01:00:25
1,Turbat,PK,26.0,63.04,54.16,32,0,13.33,clear sky,2020-12-29 01:00:25
2,Rikitea,PF,-23.12,-134.97,78.62,78,100,16.58,moderate rain,2020-12-29 00:56:34
3,Mataura,NZ,-46.19,168.86,76.32,40,45,3.76,scattered clouds,2020-12-29 00:56:34
4,Hilo,US,19.73,-155.09,82.4,58,20,9.17,few clouds,2020-12-29 01:00:09
5,Te Anau,NZ,-45.42,167.72,70.41,35,100,3.6,overcast clouds,2020-12-29 01:00:26
6,Vaini,TO,-21.2,-175.2,84.2,74,75,4.7,moderate rain,2020-12-29 01:00:26
7,Jacmel,HT,18.23,-72.53,77.0,88,75,4.97,light rain,2020-12-29 01:00:27
8,Trinidad,BO,-14.83,-64.9,73.49,96,100,3.15,overcast clouds,2020-12-29 01:00:27
9,Jamestown,US,42.1,-79.24,30.0,86,90,8.39,light snow,2020-12-29 01:00:28
10,Cidreira,BR,-30.18,-50.21,73.29,82,57,15.3,broken clouds,2020-12-29 01:00:28
11,Tiksi,RU,71.69,128.87,2.19,94,100,4.12,light snow,2020-12-29 01:00:28
12,Severo-Kurilsk,RU,50.68,156.12,22.1,95,100,40.15,snow,2020-12-29 01:00:28
13,Kodiak,US,57.79,-152.41,37.4,88,20,5.82,few clouds,2020-12-29 01:00:29
14,Saint-Philippe,RE,-21.36,55.77,77.0,69,0,19.46,clear sky,2020-12-29 01:00:29
15,Busselton,AU,-33.65,115.33,77.0,45,0,3.0,clear sky,2020-12-29 01:00:29
16,Saryg-Sep,RU,51.5,95.6,-30.44,78,0,3.33,clear sky,2020-12-29 01:00:29
17,Oistins,BB,13.07,-59.53,78.8,88,40,3.36,scattered clouds,2020-12-29 01:00:30
18,Ushuaia,AR,-54.8,-68.3,46.4,93,75,5.82,light intensity drizzle,2020-12-29 00:56:37
19,Somerset East,ZA,-32.72,25.59,65.66,81,0,2.39,clear sky,2020-12-29 01:00:30
20,Punta Arenas,CL,-53.15,-70.92,50.0,71,0,8.05,clear sky,2020-12-29 01:00:31
21,Hasaki,JP,35.73,140.83,48.2,70,75,5.82,broken clouds,2020-12-29 00:56:37
22,Arraial Do Cabo,BR,-22.97,-42.03,77.0,78,40,14.99,scattered clouds,2020-12-29 01:00:31
23,Nikolskoye,RU,59.7,30.79,28.4,74,40,15.66,scattered clouds,2020-12-29 01:00:31
24,Georgetown,MY,5.41,100.34,80.6,88,20,1.12,few clouds,2020-12-29 01:00:32
25,Barrow,US,71.29,-156.79,1.4,70,1,9.17,clear sky,2020-12-29 01:00:32
26,Kruisfontein,ZA,-34.0,24.73,63.0,92,3,1.01,clear sky,2020-12-29 01:00:32
27,Saskylakh,RU,71.92,114.08,-15.68,87,100,21.65,overcast clouds,2020-12-29 01:00:33
28,Port Hedland,AU,-20.32,118.57,91.4,52,97,5.82,overcast clouds,2020-12-29 01:00:33
29,Ostrovnoy,RU,68.05,39.51,19.69,93,100,17.43,overcast clouds,2020-12-29 00:57:01
30,Rorvik,NO,64.86,11.24,43.05,67,58,33.49,broken clouds,2020-12-29 01:00:33
31,Castro,BR,-24.79,-50.01,63.86,93,0,4.25,clear sky,2020-12-29 01:00:32
32,Yellowknife,CA,62.46,-114.35,3.2,84,90,6.93,light snow,2020-12-29 01:00:33
33,Tuatapere,NZ,-46.13,167.68,73.99,50,88,5.01,overcast clouds,2020-12-29 01:00:34
34,Moranbah,AU,-22.0,148.05,75.27,79,100,10.71,moderate rain,2020-12-29 01:00:34
35,Port Alfred,ZA,-33.59,26.89,64.0,94,2,13.53,clear sky,2020-12-29 01:00:34
36,Havoysund,NO,71.0,24.66,32.0,94,100,33.33,overcast clouds,2020-12-29 00:55:50
37,East London,ZA,-33.02,27.91,73.0,85,30,15.68,scattered clouds,2020-12-29 01:00:34
38,Carnarvon,AU,-24.87,113.63,80.6,83,90,3.36,overcast clouds,2020-12-29 01:00:35
39,Guerrero Negro,MX,27.98,-114.06,58.51,72,76,9.78,broken clouds,2020-12-29 00:57:08
40,Kaduna,NG,10.52,7.44,65.62,27,59,7.58,broken clouds,2020-12-29 01:00:35
41,Bilibino,RU,68.05,166.44,-18.74,74,0,1.36,clear sky,2020-12-29 01:00:36
42,Katsuura,JP,35.13,140.3,57.99,61,75,2.24,broken clouds,2020-12-29 01:00:36
43,Hermanus,ZA,-34.42,19.23,64.99,83,93,2.89,overcast clouds,2020-12-29 01:00:36
44,Virginia Beach,US,36.85,-75.98,51.01,56,88,1.01,overcast clouds,2020-12-29 01:00:36
45,Dunedin,NZ,-45.87,170.5,61.54,65,0,17.16,clear sky,2020-12-29 00:56:55
46,Victoria,HK,22.29,114.16,68.0,79,6,1.99,clear sky,2020-12-29 00:55:47
47,Muroto,JP,33.28,134.15,48.2,70,75,10.29,broken clouds,2020-12-29 01:00:37
48,Fortuna,US,40.6,-124.16,50.0,70,1,2.59,clear sky,2020-12-29 01:00:37
49,Havelock,US,34.88,-76.9,51.01,93,1,5.82,clear sky,2020-12-29 00:59:47
50,Chuy,UY,-33.7,-53.46,65.1,94,0,3.98,light rain,2020-12-29 01:00:37
51,Yar-Sale,RU,66.83,70.83,-10.71,90,100,12.73,overcast clouds,2020-12-29 01:00:38
52,Baykit,RU,61.67,96.37,-30.69,78,5,0.76,clear sky,2020-12-29 01:00:38
53,Chokurdakh,RU,70.63,147.92,-36.62,84,22,4.9,few clouds,2020-12-29 01:00:38
54,Si Racha,TH,13.17,100.93,82.99,79,93,2.04,light rain,2020-12-29 00:57:51
55,Velizh,RU,55.61,31.2,26.73,97,100,13.18,snow,2020-12-29 01:00:38
56,Robertsport,LR,6.75,-11.37,80.06,86,66,10.45,broken clouds,2020-12-29 01:00:39
57,Banita,RO,45.45,23.27,40.6,79,8,11.43,clear sky,2020-12-29 01:00:39
58,Novoye Leushino,RU,56.81,40.51,6.55,95,73,6.24,broken clouds,2020-12-29 01:00:39
59,Makakilo City,US,21.35,-158.09,82.4,58,1,6.93,clear sky,2020-12-29 01:00:39
60,Mar Del Plata,AR,-38.0,-57.56,69.8,88,75,11.41,broken clouds,2020-12-29 01:00:40
61,Pemangkat,ID,1.17,108.97,78.87,83,70,4.65,broken clouds,2020-12-29 01:00:40
62,Souillac,MU,-20.52,57.52,77.0,78,75,6.93,broken clouds,2020-12-29 01:00:40
63,Ugoofaaru,MV,5.67,73.0,81.73,68,0,7.07,clear sky,2020-12-29 01:00:41
64,Upernavik,GL,72.79,-56.15,26.83,95,100,22.86,snow,2020-12-29 01:00:41
65,Gobabis,NA,-22.45,18.97,71.6,73,88,2.24,light rain,2020-12-29 01:00:42
66,Hithadhoo,MV,-0.6,73.08,81.9,77,79,10.83,broken clouds,2020-12-29 00:56:45
67,Shimoda,JP,34.67,138.95,53.6,71,75,2.24,broken clouds,2020-12-29 01:00:42
68,Tenenkou,ML,14.46,-4.92,71.33,23,0,8.61,clear sky,2020-12-29 01:00:42
69,Mahebourg,MU,-20.41,57.7,77.0,78,75,6.93,broken clouds,2020-12-29 00:56:35
70,Buala,SB,-8.14,159.59,84.67,71,100,2.62,moderate rain,2020-12-29 01:00:43
71,Mangai,CD,-4.05,19.53,70.99,93,86,0.4,overcast clouds,2020-12-29 01:00:43
72,Lamesa,US,32.74,-101.95,46.4,61,75,16.11,broken clouds,2020-12-29 01:00:43
73,Kapaa,US,22.08,-159.32,80.01,69,1,8.05,clear sky,2020-12-29 00:56:34
74,Baoma,CN,31.49,106.11,41.74,63,92,13.06,overcast clouds,2020-12-29 01:00:44
75,Bethel,US,41.37,-73.41,41.0,74,75,6.42,broken clouds,2020-12-29 01:00:44
76,Husavik,IS,66.04,-17.34,28.4,68,90,11.41,light snow,2020-12-29 01:00:44
77,Shaunavon,CA,49.65,-108.42,14.0,85,100,4.7,overcast clouds,2020-12-29 00:59:54
78,Hobart,AU,-42.88,147.33,68.0,42,75,18.34,broken clouds,2020-12-29 00:56:37
79,Bredasdorp,ZA,-34.53,20.04,66.2,72,88,1.12,overcast clouds,2020-12-29 01:00:45
80,Clyde River,CA,70.47,-68.59,1.4,91,86,16.11,light snow,2020-12-29 01:00:45
81,Cape Town,ZA,-33.93,18.42,64.99,77,40,6.93,scattered clouds,2020-12-29 00:57:42
82,Albany,US,42.6,-73.97,39.99,67,98,8.41,overcast clouds,2020-12-29 01:00:05
83,Tura,IN,25.52,90.22,56.28,77,0,3.02,clear sky,2020-12-29 01:00:46
84,New Norfolk,AU,-42.78,147.06,68.0,59,94,3.0,moderate rain,2020-12-29 01:00:46
85,Ponta Do Sol,PT,32.67,-17.1,59.0,58,75,11.41,broken clouds,2020-12-29 00:56:50
